JMID FILE
Format: 1  ntracks: 10  Division: 240
TRACK 1
      0 META       FF 01 6 43 68 75 72 63 68
      0 PROGRM   C0  19
     15 NOTE-ON  90  74  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  76  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  73  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  73  64
     15 NOTE-ON  90  74  89
     15 NOTE-OFF 80  69  64
     28 NOTE-ON  90  69  89
     32 NOTE-OFF 80  74  64
     36 NOTE-OFF 80  69  64
     21 NOTE-ON  90  69  89
     49 NOTE-ON  90  70  89
     11 NOTE-OFF 80  69  64
     33 NOTE-ON  90  69  89
     31 NOTE-OFF 80  70  64
     14 NOTE-ON  90  67  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  67  64
    105 NOTE-ON  90  65  89
     75 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  62  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  67  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  62  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  61  64
     15 NOTE-ON  90  62  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  57  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  57  64
     15 NOTE-ON  90  58  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  55  64
     15 NOTE-ON  90  57  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  57  64
     15 NOTE-ON  90  53  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  53  64
     15 NOTE-ON  90  55  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  52  64
     15 NOTE-ON  90  53  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  53  64
     15 NOTE-ON  90  50  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  50  64
     15 NOTE-ON  90  55  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  52  64
     15 NOTE-ON  90  53  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  53  64
     15 NOTE-ON  90  50  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  50  64
     15 NOTE-ON  90  52  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
     15 NOTE-OFF 80  69  64
     60 NOTE-OFF 80  49  64
     30 NOTE-ON  90  50  89
    225 NOTE-OFF 80  50  64
    240 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  70  89
     30 NOTE-OFF 80  70  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  60  89
     30 NOTE-OFF 80  60  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  58  89
     30 NOTE-OFF 80  58  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  57  89
     30 NOTE-OFF 80  57  64
     15 NOTE-ON  90  61  89
     30 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     30 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     75 NOTE-OFF 80  62  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  65  89
     75 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  48  89
      0 NOTE-ON  90  57  89
     75 NOTE-OFF 80  57  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  48  64
     15 NOTE-ON  90  46  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  62  89
     75 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  46  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  64  89
      0 NOTE-ON  90  69  89
      0 NOTE-ON  90  45  89
    165 NOTE-OFF 80  45  64
      0 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  61  64
    480 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  70  89
     30 NOTE-OFF 80  70  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  60  89
     30 NOTE-OFF 80  60  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  58  89
     30 NOTE-OFF 80  58  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  57  89
     30 NOTE-OFF 80  57  64
     15 NOTE-ON  90  61  89
     30 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     30 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     75 NOTE-OFF 80  62  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  65  89
     75 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  48  89
      0 NOTE-ON  90  57  89
     75 NOTE-OFF 80  57  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  48  64
     15 NOTE-ON  90  46  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  62  89
     75 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  46  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
      0 NOTE-ON  90  64  89
      0 NOTE-ON  90  69  89
      0 NOTE-ON  90  45  89
    390 NOTE-OFF 80  45  64
      0 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     45 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  61  89
     30 NOTE-OFF 80  61  64
     15 NOTE-ON  90  59  89
     30 NOTE-OFF 80  59  64
     15 NOTE-ON  90  61  89
     30 NOTE-OFF 80  61  64
     15 NOTE-ON  90  57  89
     30 NOTE-OFF 80  57  64
     15 NOTE-ON  90  59  89
     30 NOTE-OFF 80  59  64
     15 NOTE-ON  90  61  89
     30 NOTE-OFF 80  61  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  73  89
     30 NOTE-OFF 80  73  64
     15 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  71  89
     30 NOTE-OFF 80  71  64
      0 NOTE-ON  90  73  89
     30 NOTE-OFF 80  73  64
     15 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  76  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  77  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  79  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  81  89
     30 NOTE-OFF 80  81  64
     15 NOTE-ON  90  82  89
    195 NOTE-OFF 80  82  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  74  89
     75 NOTE-OFF 80  74  64
     15 NOTE-ON  90  82  89
      0 NOTE-ON  90  77  89
     75 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  48  89
      0 NOTE-ON  90  69  89
     75 NOTE-OFF 80  69  64
     15 NOTE-ON  90  81  89
      0 NOTE-ON  90  76  89
     75 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  48  64
     15 NOTE-ON  90  46  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
     15 NOTE-ON  90  79  89
      0 NOTE-ON  90  74  89
     75 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  46  64
      0 NOTE-OFF 80  79  64
     15 NOTE-ON  90  45  89
      0 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
      0 NOTE-ON  90  76  89
      0 NOTE-ON  90  81  89
      0 NOTE-ON  90  57  89
    405 NOTE-OFF 80  57  64
      0 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  45  64
     15 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  77  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  82  89
     30 NOTE-OFF 80  82  64
     15 NOTE-ON  90  77  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  72  89
     30 NOTE-OFF 80  72  64
     15 NOTE-ON  90  76  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  81  89
     30 NOTE-OFF 80  81  64
     15 NOTE-ON  90  76  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  70  89
     30 NOTE-OFF 80  70  64
     15 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  79  89
     30 NOTE-OFF 80  79  64
      0 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
     15 NOTE-ON  90  73  89
     45 NOTE-OFF 80  73  64
     15 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
     15 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
     15 NOTE-ON  90  74  89
      0 NOTE-ON  90  50  89
    105 NOTE-OFF 80  74  64
     15 NOTE-ON  90  77  89
      0 NOTE-ON  90  82  89
    105 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  48  89
    105 NOTE-OFF 80  69  64
     15 NOTE-ON  90  76  89
      0 NOTE-ON  90  81  89
    105 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  48  64
     15 NOTE-ON  90  46  89
      0 NOTE-ON  90  70  89
    105 NOTE-OFF 80  70  64
     15 NOTE-ON  90  74  89
      0 NOTE-ON  90  79  89
    105 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  46  64
      0 NOTE-OFF 80  74  64
     15 NOTE-ON  90  81  89
      0 NOTE-ON  90  76  89
      0 NOTE-ON  90  73  89
      0 NOTE-ON  90  69  89
      0 NOTE-ON  90  64  89
      0 NOTE-ON  90  45  89
    225 NOTE-OFF 80  45  64
      0 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  81  64
     15 NOTE-ON  90  74  89
      0 NOTE-ON  90  65  89
      0 NOTE-ON  90  71  89
      0 NOTE-ON  90  59  89
      0 NOTE-ON  90  44  89
    225 NOTE-OFF 80  44  64
      0 NOTE-OFF 80  59  64
      0 NOTE-OFF 80  71  64
      0 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  74  64
     15 NOTE-ON  90  43  89
      0 NOTE-ON  90  57  89
      0 NOTE-ON  90  64  89
      0 NOTE-ON  90  69  89
      0 NOTE-ON  90  73  89
    450 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  57  64
      0 NOTE-OFF 80  43  64
     15 NOTE-ON  90  71  89
     45 NOTE-OFF 80  71  64
     15 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
     15 NOTE-ON  90  73  89
     45 NOTE-OFF 80  73  64
     15 NOTE-ON  90  76  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  79  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  82  89
     75 NOTE-OFF 80  82  64
     15 NOTE-ON  90  81  89
     30 NOTE-OFF 80  81  64
     15 NOTE-ON  90  79  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  77  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  76  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  77  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  76  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  73  89
     30 NOTE-OFF 80  73  64
     15 NOTE-ON  90  74  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  72  89
     30 NOTE-OFF 80  72  64
     15 NOTE-ON  90  70  89
     30 NOTE-OFF 80  70  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
      0 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
      0 NOTE-ON  90  55  89
      0 NOTE-ON  90  76  89
      0 NOTE-ON  90  70  89
      0 NOTE-ON  90  67  89
      0 NOTE-ON  90  61  89
    810 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  55  64
     90 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  76  89
     75 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  76  89
     75 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  73  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  73  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  76  89
     75 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  76  89
     75 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  70  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  73  89
     75 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  70  89
     75 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  67  89
     75 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  49  89
     75 NOTE-OFF 80  49  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  58  89
     75 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  49  64
