Mitchell Wade

Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,6537889155151870262


Experiment #:,0
Rule:,0241133422133
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4795408536214678,1.8262452584026092,0.0,
1,10,,0.944,0.8461538461538461,1.6503506003799036,1.9500637564362102,0.0,
2,1,,0.92,0.7692307692307692,1.7019153202937758,1.9877733714879842,0.0,
3,7,,0.776,0.6923076923076923,1.7792912655515545,1.9500637564362102,0.0,
4,9,,0.696,0.6153846153846154,1.8426672512108038,1.9220231428515733,0.0,
5,2,,0.648,0.5384615384615384,1.767782249507289,1.8339272176418302,0.0,
6,3,,0.5680000000000001,0.46153846153846156,1.5078207607730814,1.669180336866731,0.0,
7,6,,0.41600000000000004,0.3846153846153846,1.4187374945578322,1.5465935642949382,0.0,
8,8,,0.29600000000000004,0.3076923076923077,1.0485852776134905,1.352030101757953,0.0,
9,11,,0.272,0.23076923076923073,0.8963897390868045,0.9912642605354289,0.0,
10,12,,0.264,0.15384615384615385,0.832722637493494,0.6193821946787638,0.0,
11,4,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,24
Rule:,0414114332234
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9840803444510482,2.199687794731328,0.0,
1,6,,0.84,0.8461538461538461,2.19786814550925,2.2954656791802917,0.0,
2,7,,0.696,0.7692307692307692,2.182475876812071,2.2954656791802917,0.0,
3,12,,0.688,0.6923076923076923,2.1703783691976777,2.2577560641285177,0.0,
4,9,,0.608,0.6153846153846154,2.006379402554922,2.1339375660949167,0.0,
5,2,,0.56,0.5384615384615384,1.980872832271623,2.045841640885174,0.0,
6,8,,0.43999999999999995,0.46153846153846156,1.6547027169236772,1.8810947601100747,0.0,
7,10,,0.392,0.3846153846153846,1.412439478273774,1.5465935642949382,0.0,
8,11,,0.368,0.3076923076923077,1.2652290736168528,1.198183947911799,0.0,
9,5,,0.22399999999999998,0.23076923076923073,0.9905793169651801,0.9912642605354289,0.0,
10,4,,0.10399999999999998,0.15384615384615385,0.4815485438118001,0.6193821946787638,0.0,
11,3,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,1,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,25
Rule:,0233322123232
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4903137847421752,1.6143308351592656,0.0,
1,11,,0.968,0.8461538461538461,1.5907566569877725,1.7381493331928661,0.0,
2,7,,0.8240000000000001,0.7692307692307692,1.4703658923153011,1.5262349099495225,0.0,
3,8,,0.704,0.6923076923076923,1.577983622690395,1.5766212201074912,0.0,
4,1,,0.6799999999999999,0.6153846153846154,1.5837703070230713,1.5766212201074912,0.0,
5,4,,0.56,0.5384615384615384,1.5225746195775611,1.5262349099495227,0.0,
6,10,,0.512,0.46153846153846156,1.4985230384712016,1.4572659136233872,0.0,
7,9,,0.43200000000000005,0.3846153846153846,1.365357956696578,1.3346791410515946,0.0,
8,2,,0.384,0.3076923076923077,1.244319563916189,1.1401156785146092,0.0,
9,3,,0.30400000000000005,0.23076923076923073,0.8861256474645223,0.7793498372920852,0.0,
10,12,,0.29600000000000004,0.15384615384615385,0.8763462289152606,0.6193821946787638,0.0,
11,6,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,26
Rule:,0332411132222
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8951925961537084,2.075869296697727,0.0,
1,6,,0.84,0.8461538461538461,2.2585439745071945,2.133937566094917,0.0,
2,7,,0.696,0.7692307692307692,2.2431517058100154,2.075869296697727,0.0,
3,12,,0.688,0.6923076923076923,2.240078329688292,2.103909910282364,0.0,
4,8,,0.5680000000000001,0.6153846153846154,2.0550906210733104,2.038159681645953,0.0,
5,4,,0.44799999999999995,0.5384615384615384,1.6381233933394015,1.7381493331928664,0.0,
6,10,,0.4,0.46153846153846156,1.5674538701385288,1.669180336866731,0.0,
7,3,,0.31999999999999995,0.3846153846153846,1.3938489170902368,1.5465935642949382,0.0,
8,5,,0.17600000000000005,0.3076923076923077,0.8430275194725951,1.198183947911799,0.0,
9,1,,0.15200000000000002,0.23076923076923073,0.7515838084712051,0.9912642605354289,0.0,
10,9,,0.07199999999999995,0.15384615384615385,0.43946062113177686,0.7732283485249176,0.0,
11,2,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,11,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,27
Rule:,0211421342344
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.036841661982997,2.199687794731328,0.0,
1,11,,0.968,0.8461538461538461,2.127990869827144,2.2954656791802917,0.0,
2,10,,0.92,0.7692307692307692,2.206080222166924,2.237397409783102,0.0,
3,1,,0.896,0.6923076923076923,2.2387819215062814,2.199687794731328,0.0,
4,6,,0.744,0.6153846153846154,2.2678268969375455,2.133937566094917,0.0,
5,5,,0.6,0.5384615384615384,2.1013776759775697,1.9877733714879842,0.0,
6,8,,0.48,0.46153846153846156,1.943929574088609,1.8810947601100747,0.0,
7,9,,0.4,0.3846153846153846,1.6040238701568654,1.5465935642949382,0.0,
8,7,,0.256,0.3076923076923077,1.0766501291977117,1.198183947911799,0.0,
9,3,,0.17600000000000005,0.23076923076923073,0.8200296502284997,0.9912642605354289,0.0,
10,4,,0.05600000000000005,0.15384615384615385,0.3444910460298935,0.7732283485249176,0.0,
11,12,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,28
Rule:,0421334344233
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7235499548202253,2.038159681645953,0.0,
1,6,,0.84,0.8461538461538461,2.0437193653281356,2.133937566094917,0.0,
2,3,,0.76,0.7692307692307692,1.8233283651550583,1.9220231428515733,0.0,
3,4,,0.64,0.6923076923076923,1.864696277009314,1.95006375643621,0.0,
4,9,,0.56,0.6153846153846154,1.774343420070357,1.8843135277997989,0.0,
5,12,,0.552,0.5384615384615384,1.770418187018335,1.8339272176418302,0.0,
6,2,,0.504,0.46153846153846156,1.638910022182867,1.669180336866731,0.0,
7,1,,0.48,0.3846153846153846,1.5922024580946315,1.4885252948977485,0.0,
8,8,,0.36,0.3076923076923077,1.1466266116145383,1.1401156785146092,0.0,
9,10,,0.31200000000000006,0.23076923076923073,0.8954686411420223,0.7793498372920852,0.0,
10,7,,0.16800000000000004,0.15384615384615385,0.6531091121418667,0.6193821946787638,0.0,
11,11,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,29
Rule:,0113141334322
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7573354476105005,2.161978179679554,0.0,
1,1,,0.968,0.8461538461538461,1.8569535328640665,2.2577560641285177,0.0,
2,7,,0.8240000000000001,0.7692307692307692,2.1084191419011185,2.295465679180292,0.0,
3,2,,0.776,0.6923076923076923,2.135658701784243,2.2577560641285177,0.0,
4,4,,0.656,0.6153846153846154,2.0839760394842917,2.133937566094917,0.0,
5,6,,0.504,0.5384615384615384,1.6430147271933486,1.8339272176418302,0.0,
6,12,,0.496,0.46153846153846156,1.609707915683973,1.669180336866731,0.0,
7,8,,0.376,0.3846153846153846,1.4168066975338331,1.5465935642949382,0.0,
8,9,,0.29600000000000004,0.3076923076923077,1.2678361249164292,1.352030101757953,0.0,
9,10,,0.248,0.23076923076923073,1.132470920384514,1.1451104143815827,0.0,
10,5,,0.10399999999999998,0.15384615384615385,0.562600926890177,0.7732283485249176,0.0,
11,3,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,11,,0.0,0.0,-0.0,-0.0,0.0,
